path,period,strategy,wealth
5,18,buy_and_hold,0.50195312
5,19,buy_and_hold,0.50097656
5,20,buy_and_hold,0.50048828
5,21,buy_and_hold,0.50024414
5,22,buy_and_hold,0.50048828
5,23,buy_and_hold,0.50024414
5,24,buy_and_hold,0.50048828
5,25,buy_and_hold,0.50097656
5,26,buy_and_hold,0.50048828
5,27,buy_and_hold,0.50097656
5,28,buy_and_hold,0.50195312
5,29,buy_and_hold,0.50097656
5,30,buy_and_hold,0.50048828
5,31,buy_and_hold,0.50097656
5,32,buy_and_hold,0.50195312
5,33,buy_and_hold,0.50097656
5,34,buy_and_hold,0.50048828
5,35,buy_and_hold,0.50097656
5,36,buy_and_hold,0.50195312
5,37,buy_and_hold,0.50390625
5,38,buy_and_hold,0.5078125
5,39,buy_and_hold,0.50390625
5,40,buy_and_hold,0.50195312
5,41,buy_and_hold,0.50097656
5,42,buy_and_hold,0.50195312
5,43,buy_and_hold,0.50390625
5,44,buy_and_hold,0.50195312
5,45,buy_and_hold,0.50097656
5,46,buy_and_hold,0.50195312
5,47,buy_and_hold,0.50390625
5,48,buy_and_hold,0.5078125
5,49,buy_and_hold,0.50390625
5,50,buy_and_hold,0.5078125
5,51,buy_and_hold,0.50390625
5,52,buy_and_hold,0.5078125
5,53,buy_and_hold,0.50390625
5,54,buy_and_hold,0.5078125
5,55,buy_and_hold,0.515625
5,56,buy_and_hold,0.5078125
5,57,buy_and_hold,0.50390625
5,58,buy_and_hold,0.50195312
5,59,buy_and_hold,0.50390625
5,60,buy_and_hold,0.5078125
5,61,buy_and_hold,0.515625
5,62,buy_and_hold,0.53125
5,63,buy_and_hold,0.515625
5,64,buy_and_hold,0.5078125
5,65,buy_and_hold,0.50390625
5,66,buy_and_hold,0.5078125
5,67,buy_and_hold,0.515625
5,68,buy_and_hold,0.53125
5,69,buy_and_hold,0.515625
5,70,buy_and_hold,0.5078125
5,71,buy_and_hold,0.515625
5,72,buy_and_hold,0.5078125
5,73,buy_and_hold,0.50390625
5,74,buy_and_hold,0.50195312
5,75,buy_and_hold,0.50097656
5,76,buy_and_hold,0.50048828
5,77,buy_and_hold,0.50097656
5,78,buy_and_hold,0.50195312
5,79,buy_and_hold,0.50097656
5,80,buy_and_hold,0.50195312
5,81,buy_and_hold,0.50390625
5,82,buy_and_hold,0.50195312
5,83,buy_and_hold,0.50097656
5,84,buy_and_hold,0.50195312
5,85,buy_and_hold,0.50390625
5,86,buy_and_hold,0.5078125
5,87,buy_and_hold,0.50390625
5,88,buy_and_hold,0.5078125
5,89,buy_and_hold,0.50390625
5,90,buy_and_hold,0.5078125
5,91,buy_and_hold,0.515625
5,92,buy_and_hold,0.53125
5,93,buy_and_hold,0.5625
5,94,buy_and_hold,0.53125
5,95,buy_and_hold,0.515625
5,96,buy_and_hold,0.5078125
5,97,buy_and_hold,0.515625
5,98,buy_and_hold,0.53125
5,99,buy_and_hold,0.5625
5,100,buy_and_hold,0.53125
6,0,buy_and_hold,1
6,1,buy_and_hold,1.5
6,2,buy_and_hold,2.5
6,3,buy_and_hold,4.5
6,4,buy_and_hold,2.5
6,5,buy_and_hold,1.5
6,6,buy_and_hold,2.5
6,7,buy_and_hold,1.5
6,8,buy_and_hold,1
6,9,buy_and_hold,1.5
6,10,buy_and_hold,1
6,11,buy_and_hold,0.75
6,12,buy_and_hold,0.625
6,13,buy_and_hold,0.75
6,14,buy_and_hold,0.625
6,15,buy_and_hold,0.75
6,16,buy_and_hold,0.625
6,17,buy_and_hold,0.75
6,18,buy_and_hold,1
6,19,buy_and_hold,0.75
6,20,buy_and_hold,1
6,21,buy_and_hold,0.75
6,22,buy_and_hold,1
6,23,buy_and_hold,0.75
6,24,buy_and_hold,1
6,25,buy_and_hold,1.5
6,26,buy_and_hold,2.5
6,27,buy_and_hold,1.5
6,28,buy_and_hold,1
6,29,buy_and_hold,1.5
6,30,buy_and_hold,1
6,31,buy_and_hold,0.75
6,32,buy_and_hold,0.625
6,33,buy_and_hold,0.75
6,34,buy_and_hold,1
6,35,buy_and_hold,0.75
6,36,buy_and_hold,0.625
6,37,buy_and_hold,0.5625
6,38,buy_and_hold,0.53125
6,39,buy_and_hold,0.515625
6,40,buy_and_hold,0.53125
6,41,buy_and_hold,0.515625
6,42,buy_and_hold,0.53125
6,43,buy_and_hold,0.515625
6,44,buy_and_hold,0.53125
6,45,buy_and_hold,0.515625
6,46,buy_and_hold,0.5078125
6,47,buy_and_hold,0.50390625
6,48,buy_and_hold,0.50195312
6,49,buy_and_hold,0.50390625
6,50,buy_and_hold,0.50195312
6,51,buy_and_hold,0.50390625
6,52,buy_and_hold,0.5078125
6,53,buy_and_hold,0.50390625
6,54,buy_and_hold,0.50195312
6,55,buy_and_hold,0.50390625
6,56,buy_and_hold,0.50195312
6,57,buy_and_hold,0.50097656
6,58,buy_and_hold,0.50195312
6,59,buy_and_hold,0.50390625
6,60,buy_and_hold,0.50195312
6,61,buy_and_hold,0.50097656
6,62,buy_and_hold,0.50195312
6,63,buy_and_hold,0.50097656
6,64,buy_and_hold,0.50048828
6,65,buy_and_hold,0.50024414
6,66,buy_and_hold,0.50012207
6,67,buy_and_hold,0.50006104
6,68,buy_and_hold,0.50003052
6,69,buy_and_hold,0.50006104
6,70,buy_and_hold,0.50012207
6,71,buy_and_hold,0.50024414
6,72,buy_and_hold,0.50012207
6,73,buy_and_hold,0.50024414
6,74,buy_and_hold,0.50048828
6,75,buy_and_hold,0.50097656
6,76,buy_and_hold,0.50195312
6,77,buy_and_hold,0.50390625
6,78,buy_and_hold,0.50195312
6,79,buy_and_hold,0.50097656
6,80,buy_and_hold,0.50195312
6,81,buy_and_hold,0.50390625
6,82,buy_and_hold,0.5078125
6,83,buy_and_hold,0.50390625
6,84,buy_and_hold,0.5078125
6,85,buy_and_hold,0.50390625
6,86,buy_and_hold,0.50195312
6,87,buy_and_hold,0.50390625
6,88,buy_and_hold,0.5078125
6,89,buy_and_hold,0.50390625
6,90,buy_and_hold,0.5078125
6,91,buy_and_hold,0.515625
6,92,buy_and_hold,0.53125
6,93,buy_and_hold,0.5625
6,94,buy_and_hold,0.625
6,95,buy_and_hold,0.5625
6,96,buy_and_hold,0.53125
6,97,buy_and_hold,0.5625
6,98,buy_and_hold,0.53125
6,99,buy_and_hold,0.515625
6,100,buy_and_hold,0.53125
7,0,buy_and_hold,1
7,1,buy_and_hold,0.75
7,2,buy_and_hold,1
7,3,buy_and_hold,1.5
7,4,buy_and_hold,1
7,5,buy_and_hold,1.5
7,6,buy_and_hold,2.5
7,7,buy_and_hold,1.5
7,8,buy_and_hold,2.5
7,9,buy_and_hold,4.5
7,10,buy_and_hold,2.5
7,11,buy_and_hold,1.5
7,12,buy_and_hold,2.5
7,13,buy_and_hold,4.5
7,14,buy_and_hold,8.5
7,15,buy_and_hold,16.5
7,16,buy_and_hold,32.5
7,17,buy_and_hold,16.5
7,18,buy_and_hold,32.5
7,19,buy_and_hold,16.5
7,20,buy_and_hold,32.5
7,21,buy_and_hold,16.5
7,22,buy_and_hold,32.5
7,23,buy_and_hold,64.5
7,24,buy_and_hold,32.5
7,25,buy_and_hold,16.5
7,26,buy_and_hold,32.5
7,27,buy_and_hold,16.5
7,28,buy_and_hold,32.5
7,29,buy_and_hold,64.5
7,30,buy_and_hold,32.5
7,31,buy_and_hold,64.5
7,32,buy_and_hold,32.5
7,33,buy_and_hold,64.5
7,34,buy_and_hold,128.5
7,35,buy_and_hold,64.5
7,36,buy_and_hold,32.5
7,37,buy_and_hold,16.5
7,38,buy_and_hold,32.5
7,39,buy_and_hold,64.5
7,40,buy_and_hold,32.5
7,41,buy_and_hold,64.5
7,42,buy_and_hold,128.5
7,43,buy_and_hold,64.5
7,44,buy_and_hold,128.5
7,45,buy_and_hold,256.5
7,46,buy_and_hold,512.5
7,47,buy_and_hold,256.5
7,48,buy_and_hold,512.5
7,49,buy_and_hold,1024.5
7,50,buy_and_hold,512.5
7,51,buy_and_hold,256.5
7,52,buy_and_hold,512.5
7,53,buy_and_hold,256.5
7,54,buy_and_hold,128.5
7,55,buy_and_hold,64.5
7,56,buy_and_hold,128.5
7,57,buy_and_hold,64.5
7,58,buy_and_hold,32.5
7,59,buy_and_hold,64.5
7,60,buy_and_hold,32.5
7,61,buy_and_hold,64.5
7,62,buy_and_hold,128.5
7,63,buy_and_hold,64.5
7,64,buy_and_hold,128.5
7,65,buy_and_hold,64.5
7,66,buy_and_hold,128.5
7,67,buy_and_hold,256.5
7,68,buy_and_hold,128.5
7,69,buy_and_hold,64.5
7,70,buy_and_hold,128.5
7,71,buy_and_hold,64.5
7,72,buy_and_hold,128.5
7,73,buy_and_hold,64.5
7,74,buy_and_hold,32.5
7,75,buy_and_hold,64.5
7,76,buy_and_hold,32.5
7,77,buy_and_hold,16.5
7,78,buy_and_hold,32.5
7,79,buy_and_hold,16.5
