fraction,realised_log_growth,predicted_log_growth,annual_return,max_drawdown,ruined
1.6,0.10187505,0.15673551,0.10724511,-0.99419545,False
1.61,0.094066795,0.15598682,0.098633126,-0.99570094,False
1.62,0.083332846,0.15521665,0.086903519,-0.9971682,False
1.63,0.065637507,0.15442502,0.067839563,-0.99860389,False
1.64,-0.0138931,0.15361191,-0.013797037,-0.99993944,False
1.65,,0.15277734,,-1,True
1.66,,0.1519213,,-1,True
1.67,,0.15104378,,-1,True
1.68,,0.1501448,,-1,True
1.69,,0.14922435,,-1,True
1.7,,0.14828243,,-1,True
1.71,,0.14731904,,-1,True
1.72,,0.14633418,,-1,True
1.73,,0.14532785,,-1,True
1.74,,0.14430005,,-1,True
1.75,,0.14325078,,-1,True
1.76,,0.14218004,,-1,True
1.77,,0.14108783,,-1,True
1.78,,0.13997416,,-1,True
1.79,,0.13883901,,-1,True
1.8,,0.1376824,,-1,True
1.81,,0.13650431,,-1,True
1.82,,0.13530475,,-1,True
1.83,,0.13408373,,-1,True
1.84,,0.13284124,,-1,True
1.85,,0.13157727,,-1,True
1.86,,0.13029184,,-1,True
1.87,,0.12898494,,-1,True
1.88,,0.12765657,,-1,True
1.89,,0.12630672,,-1,True
1.9,,0.12493541,,-1,True
1.91,,0.12354263,,-1,True
1.92,,0.12212838,,-1,True
1.93,,0.12069267,,-1,True
1.94,,0.11923548,,-1,True
1.95,,0.11775682,,-1,True
1.96,,0.11625669,,-1,True
1.97,,0.11473509,,-1,True
1.98,,0.11319203,,-1,True
1.99,,0.11162749,,-1,True
2,,0.11004149,,-1,True
