day,price,fraction,wealth
49,0.8642459548879434,0.25,100.97350029761436
50,0.7778213593991491,0.25,98.449162790174
51,0.8556034953390641,0.25,100.91039185992834
52,0.7700431458051578,0.25,98.38763206343013
53,0.8470474603856736,0.25,100.84732286501588
54,0.7623427143471062,0.25,98.32613979339048
55,0.8385769857818169,0.25,100.78429328822523
56,0.7547192872036352,0.25,98.26468595601959
57,0.8301912159239988,0.25,100.72130310492007
58,0.7471720943315989,0.25,98.20327052729706
59,0.8218893037647589,0.25,100.65835229047948
60,0.739700373388283,0.25,98.14189348321749
61,0.8136704107271113,0.25,100.59544082029792
62,0.7323033696544002,0.25,98.08055479979048
63,0.8055337066198404,0.25,100.53256866978523
64,0.7249803359578564,0.25,98.0192544530406
65,0.797478369553642,0.25,100.4697358143666
66,0.7177305325982779,0.25,97.95799241900744
67,0.7895035858581058,0.25,100.40694222948261
68,0.7105532272722952,0.25,97.89676867374554
69,0.7816085499995248,0.25,100.34418789058917
70,0.7034476949995723,0.25,97.83558319332444
71,0.7737924644995295,0.25,100.28147277315753
72,0.6964132180495766,0.25,97.77443595382859
73,0.7660545398545343,0.25,100.2187968526743
74,0.6894490858690809,0.25,97.71332693135744
75,0.7583939944559891,0.25,100.15616010464137
76,0.6825545950103902,0.25,97.65225610202532
77,0.7508100545114292,0.25,100.09356250457596
78,0.6757290490602863,0.25,97.59122344196155
79,0.743301953966315,0.25,100.03100402801057
80,0.6689717585696836,0.25,97.5302289273103
81,0.735868934426652,0.25,99.96848465049305
82,0.6622820409839868,0.25,97.46927253423073
83,0.7285102450823855,0.25,99.90600434758649
84,0.6556592205741469,0.25,97.40835423889682
85,0.7212251426315617,0.25,99.84356309486924
86,0.6491026283684055,0.25,97.3474740174975
87,0.7140128912052461,0.25,99.78116086793494
88,0.6426116020847216,0.25,97.28663184623656
89,0.7068727622931937,0.25,99.71879764239246
90,0.6361854860638744,0.25,97.22582770133266
91,0.6998040346702619,0.25,99.65647339386597
92,0.6298236312032357,0.25,97.16506155901932
93,0.6928059943235594,0.25,99.5941880979948
94,0.6235253948912035,0.25,97.10433339554493
95,0.685877934380324,0.25,99.53194173043354
96,0.6172901409422916,0.25,97.0436431871727
97,0.6790191550365209,0.25,99.469734266852
98,0.6111172395328688,0.25,96.9829909101807
99,0.6722289634861557,0.25,99.4075656829352
100,0.6050060671375401,0.25,96.92237654086182
0,1.0,0.5,100.0
1,1.1,0.5,105.0
2,0.9900000000000001,0.5,99.75
3,1.0890000000000002,0.5,104.7375
4,0.9801000000000002,0.5,99.50062499999999
5,1.0781100000000003,0.5,104.47565624999999
6,0.9702990000000004,0.5,99.2518734375
7,1.0673289000000006,0.5,104.214467109375
8,0.9605960100000005,0.5,99.00374375390624
9,1.0566556110000007,0.5,103.95393094160154
10,0.9509900499000007,0.5,98.75623439452147
11,1.0460890548900008,0.5,103.69404611424756
12,0.9414801494010008,0.5,98.50934380853516
13,1.035628164341101,0.5,103.43481099896192
14,0.9320653479069909,0.5,98.26307044901382
15,1.02527188269769,0.5,103.17622397146451
16,0.9227446944279211,0.5,98.01741277289128
17,1.0150191638707133,0.5,102.91828341153584
18,0.913517247483642,0.5,97.77236924095905
19,1.0048689722320063,0.5,102.660987703007
20,0.9043820750088057,0.5,97.52793831785664
21,0.9948202825096863,0.5,102.40433523374948
22,0.8953382542587177,0.5,97.284118472062
23,0.9848720796845896,0.5,102.1483243956651
24,0.8863848717161307,0.5,97.04090817588184
25,0.9750233588877438,0.5,101.89295358467594
26,0.8775210229989695,0.5,96.79830590544213
27,0.9652731252988666,0.5,101.63822120071424
28,0.8687458127689799,0.5,96.55631014067852
29,0.955620394045878,0.5,101.38412564771247
30,0.8600583546412902,0.5,96.31491936532683
31,0.9460641901054193,0.5,101.13066533359319
32,0.8514577710948774,0.5,96.07413206691352
33,0.9366035482043652,0.5,100.8778386702592
34,0.8429431933839286,0.5,95.83394673674623
35,0.9272375127223216,0.5,100.62564407358354
36,0.8345137614500895,0.5,95.59436186990436
37,0.9179651375950985,0.5,100.3740799633996
38,0.8261686238355886,0.5,95.35537596522961
39,0.9087854862191476,0.5,100.12314476349111
40,0.8179069375972329,0.5,95.11698752531656
41,0.8996976313569562,0.5,99.87283690158239
42,0.8097278682212606,0.5,94.87919505650326
43,0.8907006550433868,0.5,99.62315480932843
44,0.8016305895390481,0.5,94.64199706886201
45,0.8817936484929529,0.5,99.37409692230511
46,0.7936142836436577,0.5,94.40539207618986
47,0.8729757120080236,0.5,99.12566167999935
48,0.7856781408072212,0.5,94.16937859599939
49,0.8642459548879434,0.5,98.87784752579935
50,0.7778213593991491,0.5,93.93395514950939
51,0.8556034953390641,0.5,98.63065290698486
52,0.7700431458051578,0.5,93.69912026163561
53,0.8470474603856736,0.5,98.3840762747174
54,0.7623427143471062,0.5,93.46487246098152
55,0.8385769857818169,0.5,98.13811608403061
56,0.7547192872036352,0.5,93.23121027982909
57,0.8301912159239988,0.5,97.89277079382053
58,0.7471720943315989,0.5,92.9981322541295
59,0.8218893037647589,0.5,97.64803886683599
60,0.739700373388283,0.5,92.76563692349417
61,0.8136704107271113,0.5,97.40391876966889
62,0.7323033696544002,0.5,92.53372283118544
63,0.8055337066198404,0.5,97.16040897274472
64,0.7249803359578564,0.5,92.30238852410749
65,0.797478369553642,0.5,96.91750795031287
66,0.7177305325982779,0.5,92.07163255279723
67,0.7895035858581058,0.5,96.67521418043708
68,0.7105532272722952,0.5,91.84145347141522
69,0.7816085499995248,0.5,96.43352614498599
70,0.7034476949995723,0.5,91.61184983773668
71,0.7737924644995295,0.5,96.19244232962353
72,0.6964132180495766,0.5,91.38282021314235
73,0.7660545398545343,0.5,95.95196122379946
74,0.6894490858690809,0.5,91.15436316260949
75,0.7583939944559891,0.5,95.71208132073996
76,0.6825545950103902,0.5,90.92647725470296
77,0.7508100545114292,0.5,95.47280111743812
78,0.6757290490602863,0.5,90.69916106156622
79,0.743301953966315,0.5,95.23411911464453
80,0.6689717585696836,0.5,90.4724131589123
81,0.735868934426652,0.5,94.99603381685792
82,0.6622820409839868,0.5,90.24623212601502
83,0.7285102450823855,0.5,94.75854373231577
84,0.6556592205741469,0.5,90.02061654569997
85,0.7212251426315617,0.5,94.52164737298497
86,0.6491026283684055,0.5,89.79556500433571
87,0.7140128912052461,0.5,94.28534325455252
88,0.6426116020847216,0.5,89.57107609182489
89,0.7068727622931937,0.5,94.04962989641614
90,0.6361854860638744,0.5,89.34714840159532
91,0.6998040346702619,0.5,93.81450582167508
92,0.6298236312032357,0.5,89.12378053059132
93,0.6928059943235594,0.5,93.57996955712089
94,0.6235253948912035,0.5,88.90097107926485
95,0.685877934380324,0.5,93.3460196332281
96,0.6172901409422916,0.5,88.6787186515667
97,0.6790191550365209,0.5,93.11265458414503
98,0.6111172395328688,0.5,88.45702185493776
99,0.6722289634861557,0.5,92.87987294768466
100,0.6050060671375401,0.5,88.23587930030043
0,1.0,0.75,100.0
1,1.1,0.75,107.5
2,0.9900000000000001,0.75,99.4375
3,1.0890000000000002,0.75,106.89531249999999
4,0.9801000000000002,0.75,98.87816406249999
5,1.0781100000000003,0.75,106.2940263671875
6,0.9702990000000004,0.75,98.32197438964843
7,1.0673289000000006,0.75,105.69612246887206
8,0.9605960100000005,0.75,97.76891328370667
9,1.0566556110000007,0.75,105.10158177998466
10,0.9509900499000007,0.75,97.21896314648582
11,1.0460890548900008,0.75,104.51038538247224
12,0.9414801494010008,0.75,96.67210647878683
13,1.035628164341101,0.75,103.92251446469582
14,0.9320653479069909,0.75,96.12832587984364
15,1.02527188269769,0.75,103.33795032083191
16,0.9227446944279211,0.75,95.58760404676951
17,1.0150191638707133,0.75,102.75667435027722
18,0.913517247483642,0.75,95.04992377400644
19,1.0048689722320063,0.75,102.17866805705691
20,0.9043820750088057,0.75,94.51526795277765
21,0.9948202825096863,0.75,101.60391304923597
22,0.8953382542587177,0.75,93.98361957054327
23,0.9848720796845896,0.75,101.03239103833401
24,0.8863848717161307,0.75,93.45496171045896
25,0.9750233588877438,0.75,100.46408383874339
26,0.8775210229989695,0.75,92.92927755083764
27,0.9652731252988666,0.75,99.89897336715046
28,0.8687458127689799,0.75,92.40655036461418
29,0.955620394045878,0.75,99.33704164196024
30,0.8600583546412902,0.75,91.88676351881323
31,0.9460641901054193,0.75,98.77827078272422
32,0.8514577710948774,0.75,91.3699004740199
33,0.9366035482043652,0.75,98.2226430095714
34,0.8429431933839286,0.75,90.85594478385354
35,0.9272375127223216,0.75,97.67014064264255
36,0.8345137614500895,0.75,90.34488009444436
37,0.9179651375950985,0.75,97.12074610152769
38,0.8261686238355886,0.75,89.83669014391312
39,0.9087854862191476,0.75,96.57444190470659
40,0.8179069375972329,0.75,89.3313587618536
41,0.8996976313569562,0.75,96.03121066899261
42,0.8097278682212606,0.75,88.82886986881817
43,0.8907006550433868,0.75,95.49103510897953
44,0.8016305895390481,0.75,88.32920747580607
45,0.8817936484929529,0.75,94.95389803649152
46,0.7936142836436577,0.75,87.83235568375466
47,0.8729757120080236,0.75,94.41978236003625
48,0.7856781408072212,0.75,87.33829868303353
49,0.8642459548879434,0.75,93.88867108426105
50,0.7778213593991491,0.75,86.84702075294148
51,0.8556034953390641,0.75,93.36054730941208
52,0.7700431458051578,0.75,86.35850626120617
53,0.8470474603856736,0.75,92.83539423079664
54,0.7623427143471062,0.75,85.8727396634869
55,0.8385769857818169,0.75,92.3131951382484
56,0.7547192872036352,0.75,85.38970550287978
57,0.8301912159239988,0.75,91.79393341559575
58,0.7471720943315989,0.75,84.90938840942607
59,0.8218893037647589,0.75,91.27759254013303
60,0.739700373388283,0.75,84.43177309962306
61,0.8136704107271113,0.75,90.7641560820948
62,0.7323033696544002,0.75,83.95684437593769
63,0.8055337066198404,0.75,90.253607704133
64,0.7249803359578564,0.75,83.48458712632304
65,0.797478369553642,0.75,89.74593116079727
66,0.7177305325982779,0.75,83.01498632373747
67,0.7895035858581058,0.75,89.24111029801777
68,0.7105532272722952,0.75,82.54802702566644
69,0.7816085499995248,0.75,88.73912905259142
70,0.7034476949995723,0.75,82.08369437364708
71,0.7737924644995295,0.75,88.23997145167061
72,0.6964132180495766,0.75,81.62197359279531
73,0.7660545398545343,0.75,87.74362161225497
74,0.6894490858690809,0.75,81.16284999133583
75,0.7583939944559891,0.75,87.25006374068602
76,0.6825545950103902,0.75,80.70630896013458
77,0.7508100545114292,0.75,86.75928213214466
78,0.6757290490602863,0.75,80.25233597223382
79,0.743301953966315,0.75,86.27126117015136
80,0.6689717585696836,0.75,79.80091658239002
81,0.735868934426652,0.75,85.78598532606925
82,0.6622820409839868,0.75,79.35203642661406
83,0.7285102450823855,0.75,85.30343915861012
84,0.6556592205741469,0.75,78.90568122171436
85,0.7212251426315617,0.75,84.82360731334295
86,0.6491026283684055,0.75,78.46183676484223
87,0.7140128912052461,0.75,84.3464745222054
88,0.6426116020847216,0.75,78.02048893303999
89,0.7068727622931937,0.75,83.87202560301799
